X,Y,distance,id,wys,height
707248.49057270132,5713913.6416325467,68.393923999999913,68,"9,946191237",9.946
707249.40319250512,5713914.0592575967,69.399716999999910,69,"9,939608435",9.940
707250.34462597966,5713914.4132668795,70.405509999999907,70,"9,919860028",9.920
707251.2860594542,5713914.7672761614,71.411302999999904,71,"9,906694424",9.907
707252.22749292862,5713915.1212854441,72.417095999999901,72,"9,880363216",9.880
707253.16892640328,5713915.4752947269,73.422888999999898,73,"9,860614809",9.861
707254.1103598777,5713915.8293040087,74.428681999999895,74,"9,847449205",9.847
707255.05179335212,5713916.1833132897,75.434474999999892,75,"9,827700799",9.828
707255.99322682666,5713916.5373225724,76.440267999999890,76,"9,814535194",9.815
707256.93466030131,5713916.8913318552,77.446060999999887,77,"9,80136959",9.801
707257.87609377573,5713917.2453411371,78.451853999999884,78,"9,788203986",9.788
707258.81752725039,5713917.5993504198,79.457646999999881,79,"9,755289975",9.755
707259.75896072481,5713917.9533597017,80.463439999999878,80,"9,735541569",9.736
707260.70039419935,5713918.3073689844,81.469232999999875,81,"9,722375965",9.722
707261.64182767388,5713918.6613782663,82.475025999999872,82,"9,70921036",9.709
707262.58326114831,5713919.0153875481,83.480818999999869,83,"9,696044756",9.696
707263.52469462284,5713919.3693968309,84.486611999999866,84,"9,682879152",9.683
707264.46612809738,5713919.7234061128,85.492404999999863,85,"9,669713548",9.670
707265.40756157192,5713920.0774153955,86.498197999999860,86,"9,643382339",9.643
707266.34899504646,5713920.4314246774,87.503990999999857,87,"9,630216735",9.630
707267.29042852088,5713920.7854339592,88.509783999999854,88,"9,610468329",9.610
707268.2318619953,5713921.139443242,89.515576999999851,89,"9,610468329",9.610
707269.17329546995,5713921.4934525248,90.521369999999848,90,"9,597302724",9.597
707270.11472894438,5713921.8474618066,91.527162999999845,91,"9,58413712",9.584
707271.05616241891,5713922.2014710885,92.532955999999842,92,"9,570971516",9.571
707271.99759589345,5713922.5554803712,93.538748999999839,93,"9,55122311",9.551
707272.93902936787,5713922.9094896531,94.544541999999836,94,"9,538057505",9.538
707273.88046284241,5713923.2634989358,95.550334999999833,95,"9,524891901",9.525
707274.82189631695,5713923.6175082177,96.556127999999831,96,"9,511726297",9.512
707275.76332979149,5713923.9715174995,97.561920999999828,97,"9,49197789",9.492
707276.70476326603,5713924.3255267823,98.567713999999825,98,"9,472229484",9.472
707277.64619674045,5713924.6795360642,99.573506999999822,99,"9,452481078",9.452
707278.58763021498,5713925.0335453469,100.579299999999820,100,"9,412984265",9.413
707279.52906368964,5713925.3875546297,101.585092999999820,101,"9,399818661",9.400
707280.47049716406,5713925.7415639115,102.590885999999810,102,"9,373487452",9.373
707281.4119306386,5713926.0955731934,103.596678999999810,103,"9,360321848",9.360
707282.35336411314,5713926.4495824762,104.602471999999810,104,"9,33399064",9.334
707283.27970136004,5713926.840377097,105.608264999999800,105,"9,314242233",9.314
707284.19841506693,5713927.2497481797,106.614057999999800,106,"9,301076629",9.301
707285.11712877383,5713927.6591192633,107.619850999999800,107,"9,268162618",9.268
707286.0358424806,5713928.068490346,108.625643999999800,108,"9,248414212",9.248
707286.9545561875,5713928.4778614286,109.631436999999790,109,"9,228665806",9.229
707287.87326989439,5713928.8872325113,110.637229999999790,110,"9,208917399",9.209
707288.7919836014,5713929.2966035949,111.643022999999790,111,"9,189168993",9.189
